pollster,sample,sample_2,candidate,points,poll_start,poll_end
C+HarrisX,881,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,warner,0,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,inslee,0,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,buttigieg,6,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,bloomberg,4,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,biden,30,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,harris,7,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,o_rourke,4,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
AFox News,403,Likely Voters,gabbard,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,messam,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,yang,1,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,castro,1,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,warren,5,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,bennet,0,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,inslee,1,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,buttigieg,1,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,buttigieg,8,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,warren,7,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,sanders,19,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,h_clinton,8,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,mc_auliffe,1,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,delaney,0,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,o_rourke,4,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,harris,12,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,harris,8,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
AFox News,403,Likely Voters,sanders,23,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,yang,2,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,booker,3,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,castro,0,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,holder,1,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,gabbard,1,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,harris,6,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,moulton,0,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,booker,9,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,gabbard,1,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,moulton,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,booker,6,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
AFox News,469,Likely Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,harris,7,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,warren,4,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,sanders,11,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,de_blasio,0,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,inslee,0,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,delaney,0,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,sanders,14,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,swalwell,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,sanders,15,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,harris,11,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,swalwell,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,de_blasio,0,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,brown,4,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,moulton,0,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,harris,3,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,sanders,14,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,castro,1,2019-06-06,2019-06-10
BYouGov,550,Adults,moulton,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,kaine,0,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,o_rourke,14,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,buttigieg,8,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,warren,2,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,moulton,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,warren,9,2019-06-06,2019-06-10
C+Harris Interactive,337,Registered Voters,harris,10,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,yang,1,2019-06-06,2019-06-10
AFox News,403,Likely Voters,booker,4,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,bullock,0,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,bullock,1,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,gravel,0,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,castro,1,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,schultz,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,patrick,1,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,2196,Likely Voters,booker,2,2019-06-06,2019-06-10
AFox News,469,Likely Voters,o_rourke,4,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,delaney,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,sanders,18,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,delaney,0,2019-06-06,2019-06-10
C+Harris Interactive,449,Registered Voters,sanders,21,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,o_rourke,8,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,warren,9,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,brown,2,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,warren,8,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,gabbard,0,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,castro,1,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,booker,4,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,harris,5,2019-06-06,2019-06-10
A+Monmouth University,334,Registered Voters,klobuchar,3,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,sanders,22,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,ryan,1,2019-06-06,2019-06-10
BYouGov,550,Adults,booker,2,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,warren,5,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,harris,8,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,biden,25,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,bennet,1,2019-06-06,2019-06-10
C+HarrisX,448,Registered Voters,bennet,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,warren,4,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,holder,1,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,harris,11,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,harris,10,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,delaney,0,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,harris,15,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,holder,1,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,castro,0,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,biden,28,2019-06-06,2019-06-10
B-Morning Consult,14381,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,o_rourke,6,2019-06-06,2019-06-10
Echelon Insights,499,Registered Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,sanders,21,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,brown,2,2019-06-06,2019-06-10
AFox News,403,Likely Voters,klobuchar,1,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,sanders,19,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,biden,33,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,holder,1,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,mc_auliffe,0,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,gabbard,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,bloomberg,5,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,biden,29,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,yang,0,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,sanders,11,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,ryan,1,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,biden,38,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,biden,30,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,inslee,0,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,booker,2,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,warren,5,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,booker,5,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,trump,1,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,sanders,35,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,castro,2,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,sanders,13,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,warren,8,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,bullock,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,gabbard,1,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,warren,12,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,inslee,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,holder,0,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,gillibrand,1,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,schultz,0,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,harris,7,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,warren,8,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,bloomberg,2,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,garcetti,0,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,ryan,1,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,17012,Likely Voters,sanders,19,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,castro,1,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,warren,7,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,o_rourke,8,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,biden,35,2019-06-06,2019-06-10
C+Harris Interactive,337,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,harris,10,2019-06-06,2019-06-10
B-Morning Consult,14494,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,gillibrand,0,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,kerry,4,2019-06-06,2019-06-10
C+Harris Interactive,259,Registered Voters,gravel,0,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,garcetti,1,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,biden,29,2019-06-06,2019-06-10
BGBAO,817,Likely Voters,sanders,20,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,patrick,1,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,messam,0,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,biden,29,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,4749,Likely Voters,booker,3,2019-06-06,2019-06-10
C+HarrisX,2207,Registered Voters,castro,1,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,biden,12,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,bennet,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,biden,25,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,harris,3,2019-06-06,2019-06-10
B-Morning Consult,14335,Likely Voters,inslee,1,2019-06-06,2019-06-10
CUSC Dornsife/LA Times,1131,Likely Voters,williamson,0,2019-06-06,2019-06-10
C+Harris Interactive,337,Registered Voters,gabbard,1,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,biden,38,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,swalwell,0,2019-06-06,2019-06-10
C+Change Research,1420,Likely Voters,delaney,0,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,delaney,1,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,cuomo,0,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,inslee,0,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,bennet,0,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,sanders,37,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,cuomo,0,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,mc_auliffe,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,warren,5,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,booker,3,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,castro,1,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,buttigieg,5,2019-06-06,2019-06-10
C+Harris Interactive,488,Registered Voters,bloomberg,5,2019-06-06,2019-06-10
A-Quinnipiac University,419,Registered Voters,inslee,1,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,harris,4,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,winfrey,5,2019-06-06,2019-06-10
B+Emerson College,429,Likely Voters,gillibrand,2,2019-06-06,2019-06-10
C+Harris Interactive,346,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,moulton,0,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,o_rourke,4,2019-06-06,2019-06-10
B-Morning Consult,15342,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,16587,Likely Voters,buttigieg,7,2019-06-06,2019-06-10
B-Morning Consult,14830,Likely Voters,de_blasio,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,yang,1,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,harris,6,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,booker,2,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,m_obama,0,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,warren,8,2019-06-06,2019-06-10
B+Emerson College,431,Likely Voters,o_rourke,4,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,o_rourke,2,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,delaney,0,2019-06-06,2019-06-10
Echelon Insights,447,Registered Voters,bullock,0,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,410,Likely Voters,castro,1,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,moulton,0,2019-06-06,2019-06-10
B+Ipsos,2525,Adults,de_blasio,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,h_clinton,13,2019-06-06,2019-06-10
A-Quinnipiac University,454,Registered Voters,yang,1,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,mc_auliffe,1,2019-06-06,2019-06-10
A+Monmouth University,313,Registered Voters,brown,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,harris,10,2019-06-06,2019-06-10
C+HarrisX,740,Registered Voters,delaney,2,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,bullock,1,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,gabbard,1,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,sanders,20,2019-06-06,2019-06-10
BYouGov,550,Adults,klobuchar,1,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,bloomberg,0,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,gabbard,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,harris,11,2019-06-06,2019-06-10
B-Morning Consult,12550,Likely Voters,yang,1,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,delaney,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,bennet,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,ryan,1,2019-06-06,2019-06-10
B+Emerson College,320,Likely Voters,warren,7,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,o_rourke,6,2019-06-06,2019-06-10
B-Morning Consult,13725,Likely Voters,castro,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,sanders,4,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,bullock,1,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,biden,39,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,harris,5,2019-06-06,2019-06-10
B-Morning Consult,694,Registered Voters,warren,6,2019-06-06,2019-06-10
B-Morning Consult,11627,Likely Voters,booker,5,2019-06-06,2019-06-10
B-Morning Consult,15770,Likely Voters,booker,3,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,biden,43,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,yang,1,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,inslee,1,2019-06-06,2019-06-10
Bold Blue Campaigns,500,Likely Voters,abrams,5,2019-06-06,2019-06-10
C-McLaughlin & Associates,468,Likely Voters,biden,17,2019-06-06,2019-06-10
C+HarrisX,440,Registered Voters,gillibrand,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,messam,0,2019-06-06,2019-06-10
B+Emerson College,356,Likely Voters,gravel,1,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,hickenlooper,0,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,sanders,27,2019-06-06,2019-06-10
C+Harris Interactive,263,Registered Voters,sanders,17,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,delaney,1,2019-06-06,2019-06-10
B-Morning Consult,12560,Likely Voters,harris,11,2019-06-06,2019-06-10
BGBAO,800,Likely Voters,warren,8,2019-06-06,2019-06-10
A-CNN/SSRS,463,Adults,bullock,1,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,sanders,27,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,706,Registered Voters,cuomo,1,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,warren,5,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,booker,2,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,bullock,0,2019-06-06,2019-06-10
B-Morning Consult,15642,Likely Voters,bloomberg,2,2019-06-06,2019-06-10
A-CNN/SSRS,456,Adults,biden,28,2019-06-06,2019-06-10
B-Morning Consult,13644,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
BYouGov,550,Adults,messam,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,biden,25,2019-06-06,2019-06-10
B-Morning Consult,14250,Likely Voters,castro,2,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,castro,0,2019-06-06,2019-06-10
B-Morning Consult,737,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,delaney,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,447,Likely Voters,mc_auliffe,0,2019-06-06,2019-06-10
B+Ipsos,964,Registered Voters,biden,32,2019-06-06,2019-06-10
C+Harris Interactive,346,Registered Voters,avenatti,0,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,castro,1,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,inslee,0,2019-06-06,2019-06-10
B-Morning Consult,733,Registered Voters,bullock,1,2019-06-06,2019-06-10
C+Change Research,2968,Likely Voters,klobuchar,3,2019-06-06,2019-06-10
B-Morning Consult,15383,Likely Voters,o_rourke,7,2019-06-06,2019-06-10
B-Morning Consult,699,Registered Voters,klobuchar,2,2019-06-06,2019-06-10
C+HarrisX,881,Registered Voters,biden,33,2019-06-06,2019-06-10
B-Morning Consult,674,Registered Voters,holder,1,2019-06-06,2019-06-10
A-CNN/SSRS,412,Registered Voters,booker,3,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,yang,1,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,castro,1,2019-06-06,2019-06-10
B+Emerson College,355,Likely Voters,castro,8,2019-06-06,2019-06-10
BYouGov,550,Adults,sanders,16,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,gravel,1,2019-06-06,2019-06-10
A-Quinnipiac University,503,Registered Voters,klobuchar,1,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,ryan,1,2019-06-06,2019-06-10
C+HarrisX,431,Registered Voters,yang,0,2019-06-06,2019-06-10
A-CNN/SSRS,424,Registered Voters,o_rourke,9,2019-06-06,2019-06-10
AFox News,403,Likely Voters,de_blasio,1,2019-06-06,2019-06-10
B+Ipsos,2271,Registered Voters,swalwell,0,2019-06-06,2019-06-10
B-Morning Consult,15475,Likely Voters,harris,7,2019-06-06,2019-06-10
C+HarrisX,741,Registered Voters,yang,0,2019-06-06,2019-06-10
C+Change Research,2518,Likely Voters,williamson,0,2019-06-06,2019-06-10
C-McLaughlin & Associates,450,Likely Voters,inslee,0,2019-06-06,2019-06-10
BYouGov,500,Registered Voters,yang,1,2019-06-06,2019-06-10
A+Monmouth University,330,Registered Voters,gillibrand,0,2019-06-06,2019-06-10
BYouGov,550,Adults,ryan,0,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,warren,4,2019-06-06,2019-06-10
C-McLaughlin & Associates,360,Likely Voters,o_rourke,5,2019-06-06,2019-06-10
B+Ipsos,2237,Adults,biden,24,2019-06-06,2019-06-10
C+Harris Interactive,479,Registered Voters,biden,23,2019-06-06,2019-06-10
C+Harris Interactive,273,Registered Voters,avenatti,0,2019-06-06,2019-06-10
C+Harris Interactive,254,Registered Voters,swalwell,0,2019-06-06,2019-06-10
A+ABC News/Washington Post,447,Adults,sinema,0,2019-06-06,2019-06-10
CZogby Interactive/JZ Analytics,463,Likely Voters,o_rourke,5,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,gabbard,0,2019-06-06,2019-06-10
B-Morning Consult,15226,Likely Voters,delaney,1,2019-06-06,2019-06-10
C+HarrisX,370,Registered Voters,gabbard,0,2019-06-06,2019-06-10
D-CYFOR,453,Registered Voters,biden,39,2019-06-06,2019-06-10
B-Morning Consult,12940,Likely Voters,booker,4,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,biden,29,2019-06-06,2019-06-10
BYouGov,550,Adults,yang,1,2019-06-06,2019-06-10
A+ABC News/Washington Post,427,Adults,buttigieg,5,2019-06-06,2019-06-10
A+Monmouth University,310,Registered Voters,mc_auliffe,0,2019-06-06,2019-06-10
AFox News,469,Likely Voters,delaney,1,2019-06-06,2019-06-10
A-Quinnipiac University,559,Registered Voters,hickenlooper,1,2019-06-06,2019-06-10
B-Morning Consult,685,Registered Voters,mc_auliffe,0,2019-06-06,2019-06-10
B+Ipsos,1132,Adults,warren,6,2019-06-06,2019-06-10
C+Change Research,1919,Likely Voters,warren,9,2019-06-06,2019-06-10
B-Morning Consult,13551,Likely Voters,biden,35,2019-06-06,2019-06-10
C+Harris Interactive,471,Registered Voters,williamson,0,2019-06-06,2019-06-10
B-Morning Consult,16368,Likely Voters,warren,9,2019-06-06,2019-06-10
C+HarrisX,743,Registered Voters,booker,4,2019-06-06,2019-06-10
B+Emerson College,487,Likely Voters,booker,3,2019-06-06,2019-06-10
A-CNN/SSRS,411,Registered Voters,buttigieg,1,2019-06-06,2019-06-10
